id_reg,ts,nin_id,aldea,chakra,rango,status,desc
ANBU-1040,2025-02-05 15:19:00,Kankuro,Kumo,7009.62,S,Éxito,Posible espía detectado
ANBU-1041,2025-02-06 09:09:00,Choji,Iwa,654.55,C,Fallo,Escolta de persona VIP
ANBU-1042,2025-02-06 06:17:00,Temari,Amegakure,6179.0,S,Fallo,Infiltrado de la Lluvia detectado
ANBU-1043,2025-02-02 16:15:00,,Kiri,4302.23,A,En curso,Enemigo a la vista
ANBU-1044,2025-02-02 10:14:00,Shikamaru,Kumo,2961.52,C,En curso,Sustitución de guardias
ANBU-1045,2025-02-02 09:23:00,Ino,konoha,3635.58,D,Éxito,Enemigo a la vista
ANBU-1046,2025-02-05 00:28:00,Shikamaru,Kumo,7515.41,A,Sospechoso,Posible espía detectado
ANBU-1047,2025-02-04 18:30:00,Gaara,Iwa,3542.42,B,Fallo,Posible espía detectado
ANBU-1048,2025-02-03 11:32:00,Ino,Kumo,901.23,S,Éxito,Sustitución de guardias
ANBU-1049,2025-02-04 03:12:00,Gaara,Suna,6708.6,B,Sospechoso,Recuperación de pergamino secreto
ANBU-1050,2025-02-03 01:54:00,Shikamaru,Konoha,4488.49,S,Fallo,Posible espía detectado
ANBU-1051,2025-02-01 03:26:00,Ino,Suna,5891.96,A,Éxito,Posible espía detectado
ANBU-1052,2025-02-01 15:07:00,Kankuro,Kumo,2636.27,B,Éxito,Sustitución de guardias
ANBU-1053,2025-02-01 16:08:00,Kakashi,Suna,6261.6,B,En curso,Sustitución de guardias
ANBU-1054,2025-02-02 20:26:00,Temari,Kiri,1888.37,B,Éxito,Enemigo a la vista
ANBU-1055,2025-02-03 23:25:00,Sasuke,Suna,5785.04,A,Sospechoso,Misión de reconocimiento en fronteras
ANBU-1056,2025-02-05 03:24:00,Choji,Iwa,7197.56,D,Éxito,Vigilancia de puesto avanzado
ANBU-1057,2025-02-06 06:55:00,Shikamaru, Konoha,1469.91,C,En curso,Posible espía detectado
ANBU-1058,2025-02-01 05:11:00,Kakashi,Suna ,,S,Sospechoso,Patrulla rutinaria
ANBU-1059,2025-02-06 07:27:00,Gaara,Iwa,2770.63,B,Éxito,Escolta de persona VIP
ANBU-1060,2025-02-06 07:04:00,Sasuke,Kumo,1865.48,S,Sospechoso,Escolta de persona VIP
ANBU-1061,2025-02-02 07:38:00,Temari,Suna,5297.99,C,Fallo,Posible espía detectado
ANBU-1062,2025-02-03 20:37:00,Sakura,Iwa,0.0,A,Fallo,Posible espía detectado
ANBU-1063,2025-02-04 00:16:00,Sasuke,Iwa,2481.12,S,Fallo,Sustitución de guardias
ANBU-1064,2025-02-01 02:14:00,Sakura,KONOHA ,7795.43,B,En curso,Movimiento sospechoso detectado
ANBU-1065,2025-02-01 19:31:00,Temari,Konoha_,1482.34,D,Éxito,Sustitución de guardias
ANBU-1066,2025-02-03 02:05:00,Ino,Iwa,2230.37,D,Fallo,Movimiento sospechoso detectado
ANBU-1067,2025-02-01 23:02:00,Kakashi,Iwa,4899.79,S,Fallo,Movimiento sospechoso detectado
ANBU-1068,2025-02-03 02:20:00,Kakashi,Suna,7700.02,B,Éxito,Escolta de persona VIP
ANBU-1069,2025-02-06 22:41:00,Ino,Amegakure,0.0,S,En curso,Misión de reconocimiento en fronteras
ANBU-1070,2025-02-03 22:09:00,Kakashi,Kumo,5023.76,B,Éxito,Recuperación de pergamino secreto
ANBU-1071,2025-02-01 07:02:00,Shikamaru,Iwa,7456.0,B,Fallo,Enemigo a la vista
ANBU-1072,2025-02-02 18:53:00,Kankuro,Suna,7511.17,B,Éxito,Posible espía detectado
ANBU-1073,2025-02-05 04:57:00,Naruto,Kiri,2426.36,D,En curso,Enemigo a la vista
ANBU-1074,2025-02-06 02:16:00,Gaara,Amegakure,2512.29,B,Éxito,Movimiento sospechoso detectado
ANBU-1075,2025-02-01 23:47:00,Ino,KONOHA ,4083.76,A,Éxito,Escolta de persona VIP
ANBU-1076,2025-02-02 13:17:00,Gaara,Iwa,,D,Sospechoso,Misión de reconocimiento en fronteras
ANBU-1077,2025-02-03 15:13:00,Sasuke,Kumo,2209.83,A,Fallo,Enemigo a la vista
ANBU-1078,2025-02-03 02:32:00,Shikamaru,Iwa,2205.16,C,Sospechoso,Movimiento sospechoso detectado
ANBU-1079,2025-02-02 07:40:00,Naruto,Kiri,6875.46,C,Éxito,Enemigo a la vista
ANBU-1080,2025-02-02 02:41:00,Sakura,Suna,1289.25,C,Sospechoso,Patrulla rutinaria
ANBU-1081,2025-02-05 00:59:00,Kankuro,Amegakure,4361.33,C,Éxito,Misión de reconocimiento en fronteras
ANBU-1082,2025-02-06 02:31:00,,Kiri,5535.61,B,En curso,Posible espía detectado
ANBU-1083,2025-02-04 08:39:00,Ino, suna,1467.86,D,Sospechoso,Enemigo a la vista
ANBU-1084,2025-02-06 18:20:00,Sasuke,Kiri,7174.34,B,Sospechoso,Sustitución de guardias
ANBU-1085,2025-02-05 04:18:00,Ino,Kiri,2800.95,B,En curso,Misión de reconocimiento en fronteras
ANBU-1086,2025-02-05 22:12:00,Choji,KONOHA ,3855.02,S,Sospechoso,Escolta de persona VIP
ANBU-1087,2025-02-01 01:18:00,Sakura,Iwa,,C,Sospechoso,Enemigo a la vista
ANBU-1088,2025-02-03 04:21:00,Choji,Kiri,1089.49,A,Sospechoso,Posible espía detectado
ANBU-1089,2025-02-06 01:51:00,Sasuke,Kiri,2260.62,C,Sospechoso,Posible espía detectado
ANBU-1090,2025-02-02 13:13:00,Naruto,Amegakure,5149.52,S,Fallo,Recuperación de pergamino secreto
ANBU-1091,2025-02-01 05:52:00,Naruto,Kumo,1299.59,B,Éxito,Misión de reconocimiento en fronteras
ANBU-1092,2025-02-03 17:38:00,Shikamaru,Konoha,5809.04,S,Sospechoso,Recuperación de pergamino secreto
ANBU-1093,2025-02-01 02:12:00,Gaara,Amegakure,4301.12,A,En curso,Escolta de persona VIP
ANBU-1094,2025-02-04 06:57:00,Sasuke, Lluvia,5841.01,C,Fallo,Escolta de persona VIP
ANBU-1095,2025-02-01 06:46:00,Shikamaru,Amegakure,6552.7,A,Éxito,Posible espía detectado
ANBU-1096,2025-02-04 06:52:00,Sakura,Konoha,2164.53,S,Fallo,Escolta de persona VIP
ANBU-1097,2025-02-04 04:45:00,,Kiri,3312.32,C,En curso,Posible espía detectado
ANBU-1098,2025-02-01 05:00:00,Shikamaru,Amegakure,5116.03,S,Fallo,Sustitución de guardias
ANBU-1099,2025-02-02 09:40:00,Choji,Suna,755.36,C,Éxito,Recuperación de pergamino secreto
ANBU-1100,2025-02-03 23:33:00,Ino,Kumo,6927.55,D,Sospechoso,Vigilancia de puesto avanzado
ANBU-1101,2025-02-05 10:18:00,Kakashi,Iwa,7154.61,S,En curso,Enemigo a la vista
ANBU-1102,2025-02-03 20:21:00,Naruto,Kumo,4752.75,C,Fallo,Posible espía detectado
ANBU-1103,2025-02-04 21:30:00,Naruto,Suna,1573.2,D,En curso,Patrulla rutinaria
ANBU-1104,2025-02-06 05:31:00,Ino,Iwa,-100.0,D,Éxito,Vigilancia de puesto avanzado
ANBU-1105,2025-02-06 04:02:00,Gaara,Amegakure,4750.37,C,Éxito,Escolta de persona VIP
ANBU-1106,2025-02-03 18:26:00,Shikamaru,Suna ,1194.18,A,En curso,Escolta de persona VIP
ANBU-1107,2025-02-06 03:19:00,Ino,Kumo,2387.8,A,Éxito,Misión de reconocimiento en fronteras
ANBU-1108,2025-02-01 01:16:00,Temari,Kumo,967.38,S,Fallo,Escolta de persona VIP
ANBU-1109,2025-02-01 00:35:00,Ino,Konoha,5381.73,D,Fallo,Misión de reconocimiento en fronteras
ANBU-1110,2025-02-03 11:15:00,Ino,Kiri,6417.98,S,Fallo,Patrulla rutinaria
ANBU-1111,2025-02-01 06:36:00,,Kiri,4823.95,D,Fallo,Patrulla rutinaria
ANBU-1112,2025-02-05 05:26:00,Naruto,Suna,6006.11,C,Éxito,Sustitución de guardias
ANBU-1113,2025-02-01 17:38:00,Gaara,Iwa,1894.01,B,Fallo,Misión de reconocimiento en fronteras
ANBU-1114,2025-02-04 18:14:00,Shikamaru,Iwa,5502.31,C,En curso,Sustitución de guardias
ANBU-1115,2025-02-03 21:27:00,Temari,Iwa,7529.18,B,Sospechoso,Vigilancia de puesto avanzado
ANBU-1116,2025-02-05 07:05:00,Shikamaru,Kiri,4299.25,C,Fallo,Sustitución de guardias
ANBU-1117,2025-02-06 12:18:00,Naruto,Konoha,5793.71,A,En curso,Escolta de persona VIP
ANBU-1118,2025-02-06 21:16:00,Kankuro,Kiri,7035.72,C,Éxito,Sustitución de guardias
ANBU-1119,2025-02-03 19:03:00,Ino,Amegakure,1399.34,S,Fallo,Movimiento sospechoso detectado
ANBU-1120,2025-02-03 19:41:00,Ino,Iwa,1527.8,D,En curso,Escolta de persona VIP
ANBU-1121,2025-02-05 13:12:00,Temari,Iwa,4794.01,D,Éxito,Vigilancia de puesto avanzado
ANBU-1122,2025-02-03 06:57:00,Temari,Amegakure,2670.64,B,Fallo,Patrulla rutinaria
ANBU-1123,2025-02-02 07:51:00,Kankuro,Kiri,5988.03,A,En curso,Vigilancia de puesto avanzado
ANBU-1124,2025-02-05 08:52:00,Temari,Konoha,5160.35,S,Fallo,Movimiento sospechoso detectado
ANBU-1125,2025-02-03 03:10:00,,Kiri,2571.74,D,Éxito,Posible espía detectado
ANBU-1126,2025-02-05 06:14:00,Ino,Kiri,7343.96,S,Fallo,Sustitución de guardias
ANBU-1127,2025-02-03 15:10:00,Sasuke,Kiri,2693.76,C,Éxito,Enemigo a la vista
ANBU-1128,2025-02-05 23:06:00,Kankuro,Amegakure,4337.7,D,Fallo,Vigilancia de puesto avanzado
ANBU-1129,2025-02-04 23:22:00,Temari,Iwa,3961.58,S,Fallo,Movimiento sospechoso detectado
ANBU-1130,2025-02-06 04:32:00,Temari,Suna,2882.84,S,En curso,Movimiento sospechoso detectado
ANBU-1131,2025-02-06 08:37:00,Shikamaru,Iwa,6565.15,S,Fallo,Movimiento sospechoso detectado
ANBU-1132,2025-02-02 14:29:00,Kankuro,KONOHA ,6655.71,A,Fallo,Recuperación de pergamino secreto
ANBU-1133,2025-02-04 14:46:00,Sakura,Suna ,4273.31,B,En curso,Sustitución de guardias
ANBU-1134,2025-02-02 20:03:00,Kankuro,Kiri,1261.62,B,Fallo,Misión de reconocimiento en fronteras
ANBU-1135,2025-02-01 17:47:00,Naruto,Konoha,,A,Éxito,Recuperación de pergamino secreto
ANBU-1136,2025-02-03 09:19:00,Kankuro,Amegakure,1175.33,B,Fallo,Enemigo a la vista
ANBU-1137,2025-02-02 06:17:00,Naruto,Amegakure,7334.75,A,Sospechoso,Posible espía detectado
ANBU-1138,2025-02-03 08:46:00,Kankuro,Kiri,2591.1,A,Éxito,Posible espía detectado
ANBU-1139,2025-02-04 01:36:00,Sasuke,Kiri,6995.91,D,Éxito,Posible espía detectado
ANBU-1140,2025-02-03 04:06:00,Kankuro,Konoha,4717.63,D,Éxito,Patrulla rutinaria
ANBU-1141,2025-02-03 13:30:00,Gaara,Amegakure,1472.4,C,Éxito,Recuperación de pergamino secreto
ANBU-1142,2025-02-06 10:34:00,Choji,Kumo,4958.96,B,En curso,Vigilancia de puesto avanzado
ANBU-1143,2025-02-02 10:58:00,Kankuro,Iwa,1313.94,C,Sospechoso,Escolta de persona VIP
ANBU-1144,2025-02-01 15:49:00,Shikamaru,Kiri,7497.55,S,Éxito,Patrulla rutinaria
ANBU-1145,2025-02-04 20:49:00,Kankuro,Konoha,3243.49,D,Sospechoso,Movimiento sospechoso detectado
ANBU-1146,2025-02-03 18:26:00,Choji,Iwa,4185.92,C,En curso,Posible espía detectado
ANBU-1147,2025-02-02 00:19:00,,Kiri,6357.19,C,Éxito,Misión de reconocimiento en fronteras
ANBU-1148,2025-02-01 01:20:00,Kakashi,amegakure,1206.03,C,Fallo,Patrulla rutinaria
ANBU-1149,2025-02-01 09:36:00,Ino,Kiri,3968.45,S,Sospechoso,Vigilancia de puesto avanzado
ANBU-1150,2025-02-01 08:08:00,,Kiri,7858.65,C,Fallo,Posible espía detectado
ANBU-1151,2025-02-06 03:28:00,Kakashi,Kiri,4301.14,A,Éxito,Sustitución de guardias
ANBU-1152,2025-02-04 02:15:00,Gaara,Iwa,841.42,A,En curso,Sustitución de guardias
ANBU-1153,2025-02-06 12:08:00,Kakashi,Kiri,5428.85,B,Sospechoso,Posible espía detectado
ANBU-1154,2025-02-04 03:10:00,Choji,Suna,6501.62,S,Sospechoso,Vigilancia de puesto avanzado
ANBU-1155,2025-02-06 14:14:00,Kakashi,Iwa,999999.0,S,Sospechoso,Recuperación de pergamino secreto
ANBU-1156,2025-02-01 04:41:00,Kankuro,amegakure,3507.81,B,Éxito,Escolta de persona VIP
ANBU-1157,2025-02-03 18:28:00,Sasuke,Suna,5726.4,C,Éxito,Misión de reconocimiento en fronteras
ANBU-1158,2025-02-04 23:51:00,Kankuro,Kumo,5377.39,C,Sospechoso,Vigilancia de puesto avanzado
ANBU-1159,2025-02-05 10:32:00,Sasuke,Kumo,1752.34,B,Éxito,Misión de reconocimiento en fronteras
ANBU-1160,2025-02-01 09:47:00,Choji,Suna,5368.5,C,Sospechoso,Enemigo a la vista
ANBU-1161,2025-02-05 02:10:00,Sakura,Kumo,,D,Éxito,Patrulla rutinaria
ANBU-1162,2025-02-06 20:00:00,Naruto,Suna,-100.0,D,Éxito,Recuperación de pergamino secreto
ANBU-1163,2025-02-06 03:59:00,Ino,Kumo,1338.06,B,Sospechoso,Posible espía detectado
ANBU-1164,2025-02-03 04:43:00,Naruto,Suna,2701.88,B,Éxito,Vigilancia de puesto avanzado
ANBU-1165,2025-02-04 20:37:00,Sakura,Konoha,5479.07,S,Fallo,Vigilancia de puesto avanzado
ANBU-1166,2025-02-01 02:00:00,Shikamaru,Suna ,2207.66,S,Sospechoso,Patrulla rutinaria
ANBU-1167,2025-02-06 16:56:00,Ino,Konoha,6657.28,C,Éxito,Escolta de persona VIP
ANBU-1168,2025-02-03 16:00:00,Sakura,Konoha,7081.21,S,Fallo,Posible espía detectado
ANBU-1169,2025-02-01 08:29:00,Choji,Kumo,5737.97,B,Éxito,Movimiento sospechoso detectado
ANBU-1170,2025-02-06 19:53:00,Kankuro,amegakure,652.96,A,Fallo,Posible espía detectado
ANBU-1171,2025-02-05 11:59:00,Shikamaru,Iwa,7242.74,A,Fallo,Patrulla rutinaria
ANBU-1172,2025-02-03 04:10:00,Temari,Konoha_,6167.94,B,Sospechoso,Misión de reconocimiento en fronteras
ANBU-1173,2025-02-01 02:41:00,Shikamaru,Kumo,4451.85,B,En curso,Enemigo a la vista
ANBU-1174,2025-02-01 03:16:00,Shikamaru,Kiri,4895.89,B,Éxito,Enemigo a la vista
ANBU-1175,2025-02-05 07:55:00,Temari,Konoha,904.14,C,Sospechoso,Recuperación de pergamino secreto
ANBU-1176,2025-02-01 22:29:00,Sakura,Kiri,1167.29,A,En curso,Enemigo a la vista
ANBU-1177,2025-02-04 16:14:00,Ino,Konoha,5760.91,A,Sospechoso,Escolta de persona VIP
ANBU-1178,2025-02-05 08:55:00,Ino,Suna,2921.74,D,Éxito,Sustitución de guardias
ANBU-1179,2025-02-03 17:29:00,Kakashi,Kiri,5508.18,S,Éxito,Vigilancia de puesto avanzado
ANBU-1180,2025-02-01 22:02:00,Sakura,Iwa,7165.08,B,Fallo,Movimiento sospechoso detectado
ANBU-1181,2025-02-04 17:15:00,Kankuro,Kiri,7187.17,D,Fallo,Sustitución de guardias
ANBU-1182,2025-02-02 08:43:00,Shikamaru,Kumo,2652.19,A,Sospechoso,Recuperación de pergamino secreto
ANBU-1183,2025-02-04 18:08:00,Shikamaru,Kumo,7058.03,D,En curso,Misión de reconocimiento en fronteras
ANBU-1184,2025-02-04 01:33:00,Sakura,Iwa,6704.63,C,En curso,Recuperación de pergamino secreto
ANBU-1185,2025-02-02 19:20:00,Temari,Kumo,651.91,B,En curso,Misión de reconocimiento en fronteras
ANBU-1186,2025-02-05 13:50:00,Ino,Amegakure,1933.18,A,Fallo,Movimiento sospechoso detectado
ANBU-1187,2025-02-06 17:12:00,Ino,Suna,3549.87,D,Fallo,Sustitución de guardias
ANBU-1188,2025-02-04 01:49:00,Choji,Kumo,5722.98,D,En curso,Misión de reconocimiento en fronteras
ANBU-1189,2025-02-04 09:42:00,Choji,Kumo,,D,Éxito,Recuperación de pergamino secreto
ANBU-1190,2025-02-03 02:24:00,Shikamaru,SUNA,6230.67,B,Fallo,Enemigo a la vista
ANBU-1191,2025-02-04 04:40:00,Kankuro,Kumo,3149.62,B,Éxito,Movimiento sospechoso detectado
ANBU-1192,2025-02-06 22:11:00,Sasuke,Amegakure,2249.59,D,Éxito,Sustitución de guardias
ANBU-1193,2025-02-06 18:25:00,Temari,Amegakure,7367.0,S,Sospechoso,Infiltrado de la Lluvia detectado
ANBU-1194,2025-02-04 23:34:00,Sakura,Kumo,3309.81,C,Fallo,Posible espía detectado
ANBU-1195,2025-02-03 18:58:00,Sakura,Kumo,7192.03,A,En curso,Sustitución de guardias
ANBU-1196,2025-02-04 15:11:00,Shikamaru,Kumo,4326.9,D,Fallo,Enemigo a la vista
ANBU-1197,2025-02-02 23:18:00,Temari, Konoha,3702.63,C,Éxito,Patrulla rutinaria
ANBU-1198,2025-02-02 18:19:00,,Kiri,7667.81,D,Sospechoso,Recuperación de pergamino secreto
ANBU-1199,2025-02-02 09:53:00,Sasuke,Kiri,6823.4,S,Fallo,Movimiento sospechoso detectado
ANBU-1200,2025-02-02 23:25:00,Sasuke,Kumo,1815.14,D,Éxito,Patrulla rutinaria
ANBU-1201,2025-02-04 13:38:00,Temari,Kiri,6342.22,D,Sospechoso,Patrulla rutinaria
ANBU-1202,2025-02-02 13:00:00,Shikamaru,Iwa,5476.18,S,En curso,Vigilancia de puesto avanzado
ANBU-1203,2025-02-01 23:55:00,Temari,Kiri,758.5,C,Sospechoso,Enemigo a la vista
ANBU-1204,2025-02-05 18:17:00,Ino,Suna,7188.22,C,Fallo,Enemigo a la vista
ANBU-1205,2025-02-05 17:04:00,Naruto,Iwa,3885.35,D,Sospechoso,Vigilancia de puesto avanzado
ANBU-1206,2025-02-02 02:56:00,Temari,Amegakure,6226.64,B,Fallo,Escolta de persona VIP
ANBU-1207,2025-02-01 21:06:00,Kankuro, Konoha,6216.86,S,Fallo,Recuperación de pergamino secreto
ANBU-1208,2025-02-02 16:56:00,Temari,Kumo,5287.16,S,Éxito,Vigilancia de puesto avanzado
ANBU-1209,2025-02-01 20:57:00,Naruto,Konoha,0.0,A,Éxito,Posible espía detectado
ANBU-1210,2025-02-02 16:56:00,Temari,Amegakure,7767.65,A,Fallo,Enemigo a la vista
ANBU-1211,2025-02-02 15:40:00,Choji,Konoha,4654.02,C,Fallo,Patrulla rutinaria
ANBU-1212,2025-02-05 00:28:00,Kakashi, Konoha,753.15,S,Fallo,Misión de reconocimiento en fronteras
ANBU-1213,2025-02-05 07:45:00,Naruto,Kiri,4161.2,A,En curso,Posible espía detectado
ANBU-1214,2025-02-04 16:59:00,Naruto,Iwa,6026.61,D,Fallo,Vigilancia de puesto avanzado
ANBU-1215,2025-02-01 00:51:00,Gaara,Suna,3005.77,B,Sospechoso,Enemigo a la vista
ANBU-1216,2025-02-01 10:49:00,Kankuro,Kiri,7855.79,D,En curso,Vigilancia de puesto avanzado
ANBU-1217,2025-02-06 01:05:00,Ino,Iwa,,B,Éxito,Escolta de persona VIP
ANBU-1218,2025-02-01 12:11:00,Ino,Konoha,4535.9,D,Éxito,Movimiento sospechoso detectado
ANBU-1219,2025-02-01 12:43:00,Sakura,Amegakure,2469.53,D,Fallo,Sustitución de guardias
ANBU-1220,2025-02-06 15:30:00,Gaara,Konoha,2323.76,C,Fallo,Posible espía detectado
ANBU-1221,2025-02-01 08:10:00,Gaara,Kumo,6429.32,S,Fallo,Misión de reconocimiento en fronteras
ANBU-1222,2025-02-03 17:07:00,Temari,Suna,,S,Fallo,Sustitución de guardias
ANBU-1223,2025-02-06 07:07:00,Gaara,Kiri,,D,Fallo,Recuperación de pergamino secreto
ANBU-1224,2025-02-02 06:58:00,Naruto,Konoha,1721.87,B,Éxito,Sustitución de guardias
ANBU-1225,2025-02-05 07:47:00,Kakashi,Suna,1088.58,S,Fallo,Vigilancia de puesto avanzado
ANBU-1226,2025-02-01 01:16:00,Sasuke,KONOHA ,4587.18,D,Fallo,Vigilancia de puesto avanzado
ANBU-1227,2025-02-06 10:59:00,Choji,Iwa,6338.65,D,Fallo,Sustitución de guardias
ANBU-1228,2025-02-03 04:10:00,Sasuke,Iwa,2604.96,D,Fallo,Misión de reconocimiento en fronteras
ANBU-1229,2025-02-01 21:44:00,Kakashi, Lluvia,5473.75,D,Éxito,Vigilancia de puesto avanzado
ANBU-1230,2025-02-02 11:47:00,Kankuro,Kiri,1592.23,A,Sospechoso,Enemigo a la vista
ANBU-1231,2025-02-04 01:31:00,Sakura,Suna,6441.08,B,En curso,Patrulla rutinaria
ANBU-1232,2025-02-06 13:08:00,Sakura,Kumo,1490.34,D,Éxito,Recuperación de pergamino secreto
ANBU-1233,2025-02-05 09:59:00,Choji,Iwa,3300.08,B,Éxito,Posible espía detectado
ANBU-1234,2025-02-03 04:32:00,Kakashi,amegakure,4330.52,D,Fallo,Misión de reconocimiento en fronteras
ANBU-1235,2025-02-06 18:09:00,Shikamaru,Suna,,A,En curso,Patrulla rutinaria
ANBU-1236,2025-02-01 00:34:00,Temari,Konoha,900.52,A,Éxito,Enemigo a la vista
ANBU-1237,2025-02-04 23:55:00,Kakashi,Amegakure,1351.78,A,Sospechoso,Patrulla rutinaria
ANBU-1238,2025-02-06 02:37:00,Gaara,KONOHA ,3235.74,S,Éxito,Escolta de persona VIP
ANBU-1239,2025-02-04 11:32:00,Shikamaru,SUNA,6837.05,B,Sospechoso,Movimiento sospechoso detectado
ANBU-1240,2025-02-04 23:35:00,Sakura,Kiri,4052.91,S,Fallo,Enemigo a la vista
ANBU-1241,2025-02-06 02:48:00,Gaara,Suna,5478.1,A,En curso,Enemigo a la vista
ANBU-1242,2025-02-06 23:52:00,Gaara,Iwa,5017.26,A,Fallo,Enemigo a la vista
ANBU-1243,2025-02-02 07:30:00,Sasuke,Kiri,2689.23,B,Éxito,Patrulla rutinaria
ANBU-1244,2025-02-06 23:37:00,Kakashi,Kumo,4908.58,B,En curso,Movimiento sospechoso detectado
ANBU-1245,2025-02-04 13:06:00,Sakura,Kumo,,B,En curso,Sustitución de guardias
ANBU-1246,2025-02-01 11:27:00,Sakura,Iwa,1947.33,A,Sospechoso,Patrulla rutinaria
ANBU-1247,2025-02-01 04:47:00,Sasuke,Amegakure,4599.08,D,Sospechoso,Movimiento sospechoso detectado
ANBU-1248,2025-02-05 05:55:00,Kankuro,Amegakure,,C,Sospechoso,Misión de reconocimiento en fronteras
ANBU-1249,2025-02-03 03:01:00,Choji,SUNA,,B,En curso,Escolta de persona VIP
ANBU-1250,2025-02-04 23:37:00,Shikamaru,Konoha,7016.28,A,En curso,Vigilancia de puesto avanzado
ANBU-1251,2025-02-04 10:51:00,Ino,Kiri,4643.19,C,Fallo,Posible espía detectado
ANBU-1252,2025-02-03 12:01:00,Ino,Kumo,6614.44,D,Éxito,Movimiento sospechoso detectado
