id,fecha,producto,precio,cantidad
88,2023-03-25,  Tanto Madera  ,1238.42,4
89,2023-03-28,Nodachi Elite,442.59,6
90,2023-03-27,Nodachi Elite,1356.64,8
91,09-12-2023,Boken Entrenamiento,1437.74,9
92,2023-06-22,Katana Acero,94.4,10
93,2023-03-23,Tanto Madera,1240.8,8
94,2023-08-13,Kunai Hierro,1204.12,4
95,17/08/2023,Shuriken,860.44,2
96,05/04/2023,Shuriken,477.94,1
97,07/09/2023,Nodachi Elite,1146.88,4
98,2023-04-19,Nodachi Elite,1186.34,7
99,04-11-2023,Nodachi Elite,40.04,10
100,19/06/2023,Tanto Madera,35.75,1
101,2023-06-20,Boken Entrenamiento,843.97,5
102,19/08/2023,Nodachi Elite,659.51,6
103,Hace 2 dias,Boken Entrenamiento,316.64,7
104,01/03/2023,Tanto Madera,570.79,5
105,Hace 2 dias,Kunai Hierro,635.41,6
106,03-19-2023,tanto madera,855.54,6
107,2023-12-20,Tanto Madera,603.12,4
108,21/03/2023,Kunai Hierro,396.77,2
108,21/03/2023,Kunai Hierro,396.77,2
109,03-26-2023,Tanto Madera,170.51,8
109,03-26-2023,Tanto Madera,170.51,8
110,2023-09-01,Kunai Hierro,1490.5,6
111,07-11-2023,Shuriken,1039.68,5
112,19/07/2023,Kunai Hierro,1282.91,2
113,01-29-2023,Tanto Madera,1013.11,8
114,2023-09-07,Katana Acero,198.04,8
115,2023-06-18,Katana Acero,446.09,2
116,21/12/2023,Kunai Hierro,973.76,7
117,07-08-2023,Katana Acero,407.28,8
118,2023-08-17,Boken Entrenamiento,972.19,7
119,2023-06-23,  Kunai Hierro  ,63.49,2
120,2023-02-15,  Nodachi Elite  ,806.75,2
121,16/01/2023,tanto madera,433.5,8
122,02/05/2023,Boken Entrenamiento,86.08,3
123,10-14-2023,Katana Acero,788.2,7
124,2023-11-07,Shuriken,1047.31,9
125,Ayer,Tanto Madera,1271.0,4
126,2023-02-01,Katana Acero,548.2,1
127,Hace 2 dias,Shuriken,112.79,5
128,26/04/2023,Tanto Madera,915.77,3
129,11-03-2023,Kunai Hierro,1074.62,1
130,Hace 2 dias,Nodachi Elite,304.24,9
131,03-17-2023,Shuriken,1298.23,9
132,01-10-2023,Nodachi Elite,214.29,5
133,Hace 2 dias,Tanto Madera,111.15,4
134,06-26-2023,Nodachi Elite,326.64,3
135,07-24-2023,Nodachi Elite,831.29,7
136,Ayer,Katana Acero,175.09,1
137,2023-06-09,Boken Entrenamiento,842.04,1
138,05-16-2023,Shuriken,1044.1,4
138,05-16-2023,Shuriken,1044.1,4
139,Ayer,Kunai Hierro,ERR,9
140,2023-06-12,Boken Entrenamiento,922.94,2
141,13/08/2023,Katana Acero,208.06,5
142,Ayer,Shuriken,1306.27,3
142,Ayer,Shuriken,1306.27,3
143,02/10/2023,Boken Entrenamiento,787.93,4
144,2023-08-01,Nodachi Elite,ERR,5
145,Hace 2 dias,Boken Entrenamiento,1271.45,3
146,03-14-2023,Kunai Hierro,173.42,9
147,17/11/2023,Tanto Madera,414.3,5
148,08/07/2023,Shuriken,317.18,7
149,12-27-2023,Katana Acero,317.57,1
150,13/11/2023,boken entrenamiento,ERR,1
151,12-03-2023,Kunai Hierro,1391.83,8
152,2023-05-20,Boken Entrenamiento,530.58,4
153,Hace 2 dias,Nodachi Elite,444.59,4
154,14/11/2023,Katana Acero,1249.0,7
155,15/04/2023,Shuriken,1106.96,9
156,Ayer,Tanto Madera,838.28,4
157,09-03-2023,Shuriken,719.46,3
158,Ayer,Nodachi Elite,1355.13,10
159,24/01/2023,Kunai Hierro,518.2,6
160,2023-02-14,Katana Acero,663.06,2
161,Hace 2 dias,Shuriken,ERR,9
162,2023-12-01,Kunai Hierro,1052.66,5
162,2023-12-01,Kunai Hierro,1052.66,5
163,Ayer,Katana Acero,1415.81,6
164,04-30-2023,Boken Entrenamiento,1492.25,4
165,28/09/2023,Boken Entrenamiento,1096.76,6
166,2023-03-21,Katana Acero,874.66,10
167,Hace 2 dias,Nodachi Elite,165.62,4
168,12-15-2023,Katana Acero,242.76,4
169,02-02-2023,Kunai Hierro,698.41,6
170,Hace 2 dias,Boken Entrenamiento,866.86,6
171,02-16-2023,Boken Entrenamiento,420.48,8
172,07/04/2023,Boken Entrenamiento,1394.35,9
173,17/06/2023,Shuriken,483.29,5
174,Hace 2 dias,Nodachi Elite,283.79,5
175,Hace 2 dias,Nodachi Elite,,5
176,07/01/2023,Boken Entrenamiento,984.87,9
176,07/01/2023,Boken Entrenamiento,984.87,9
177,2023-09-07,Tanto Madera,1215.91,2
178,31/05/2023,Tanto Madera,,3
179,22/11/2023,  Tanto Madera  ,456.23,10
180,19/08/2023,Nodachi Elite,92.59,1
181,Ayer,Kunai Hierro,1116.14,5
182,2023-09-24,Boken Entrenamiento,329.74,9
183,Ayer,kunai hierro,273.28,4
184,Hace 2 dias,Nodachi Elite,1487.71,4
185,2023-02-26,  Boken Entrenamiento  ,537.2,9
186,2023-06-28,Katana Acero,1452.25,2
187,Ayer,Boken Entrenamiento,1227.9,8
188,2023-12-01,kunai hierro,1306.23,3
189,04-16-2023,Shuriken,422.33,1
190,09-19-2023,Boken Entrenamiento,796.24,8
191,2023-06-09,Kunai Hierro,ERR,5
192,Hace 2 dias,Boken Entrenamiento,655.85,1
193,Hace 2 dias,boken entrenamiento,809.01,6
194,09-20-2023,  Katana Acero  ,177.56,2
195,08-15-2023,Nodachi Elite,1057.86,10
196,04-05-2023,Shuriken,1201.97,6
197,2023-12-06,  Shuriken  ,774.55,4
198,2023-07-05,Boken Entrenamiento,1351.72,8
199,07-04-2023,Katana Acero,1401.48,4
199,07-04-2023,Katana Acero,1401.48,4
200,07-24-2023,Tanto Madera,900.28,5
201,04-22-2023,Nodachi Elite,486.68,7
202,10-30-2023,Nodachi Elite,,6
203,2023-04-18,Kunai Hierro,382.83,9
204,01-05-2023,Tanto Madera,919.91,7
205,2023-04-11,Nodachi Elite,433.25,10
206,04-22-2023,Tanto Madera,295.73,5
207,25/03/2023,Nodachi Elite,239.87,2
208,Ayer,Boken Entrenamiento,1382.99,8
209,Hace 2 dias,Tanto Madera,431.08,6
210,05-11-2023,Kunai Hierro,14.79,7
211,04-19-2023,Kunai Hierro,474.13,7
212,10-26-2023,Tanto Madera,ERR,2
213,21/02/2023,Kunai Hierro,912.36,7
214,2023-06-12,kunai hierro,222.94,3
215,2023-06-16,Shuriken,228.13,9
216,05/08/2023,Katana Acero,268.58,9
217,Ayer,Tanto Madera,610.56,9
218,16/12/2023,Boken Entrenamiento,1041.25,4
219,12-01-2023,Kunai Hierro,1483.71,6
220,Hace 2 dias,Nodachi Elite,1206.3,2
221,Ayer,Nodachi Elite,,6
222,2023-08-03,Katana Acero,1040.48,-1
223,2023-08-04,Tanto Madera,1455.9,3
224,Hace 2 dias,Tanto Madera,49.07,9
225,19/04/2023,Kunai Hierro,ERR,-1
226,02-19-2023,Tanto Madera,1140.08,4
227,09-13-2023,Kunai Hierro,,8
228,Ayer,Katana Acero,620.44,8
229,04-14-2023,Kunai Hierro,44.84,3
230,24/08/2023,Shuriken,885.42,5
231,Ayer,Tanto Madera,11.15,7
232,02-15-2023,Kunai Hierro,102.1,5
233,11-02-2023,tanto madera,914.07,6
234,08-29-2023,Kunai Hierro,,3
235,09/02/2023,Boken Entrenamiento,1076.08,1
236,Hace 2 dias,Shuriken,1213.82,6
237,04-11-2023,Boken Entrenamiento,801.67,9
238,27/06/2023,shuriken,ERR,1
238,27/06/2023,shuriken,ERR,1
239,Ayer,Tanto Madera,ERR,10
240,Hace 2 dias,Shuriken,816.31,3
241,11-27-2023,  Boken Entrenamiento  ,980.48,1
242,04-12-2023,Kunai Hierro,128.24,5
243,Hace 2 dias,Kunai Hierro,ERR,6
244,Ayer,Shuriken,144.34,2
245,2023-12-16,Boken Entrenamiento,770.5,9
246,Hace 2 dias,Katana Acero,744.05,8
247,Ayer,Boken Entrenamiento,449.29,2
248,2023-05-04,tanto madera,702.11,3
249,10-28-2023,Boken Entrenamiento,1099.82,7
250,26/07/2023,  Tanto Madera  ,205.06,7
251,15/10/2023,Nodachi Elite,154.6,3
252,Ayer,shuriken,151.07,1
252,Ayer,shuriken,151.07,1
253,17/05/2023,Nodachi Elite,170.98,9
254,Hace 2 dias,Boken Entrenamiento,1309.53,8
255,Hace 2 dias,Boken Entrenamiento,389.46,2
256,05/05/2023,Shuriken,957.53,8
257,07-18-2023,Kunai Hierro,623.65,9
258,22/08/2023,Katana Acero,44.85,10
259,Ayer,Kunai Hierro,563.89,2
260,2023-11-02,Katana Acero,463.52,1
261,Hace 2 dias,Nodachi Elite,945.36,1
262,14/12/2023,Kunai Hierro,1335.34,7
263,07/10/2023,  Tanto Madera  ,568.67,4
264,Ayer,Shuriken,1466.9,4
265,2023-01-15,Boken Entrenamiento,827.18,2
266,16/02/2023,Shuriken,528.57,8
267,05-10-2023,Kunai Hierro,ERR,7
268,2023-05-16,Tanto Madera,624.46,6
268,2023-05-16,Tanto Madera,624.46,6
269,08-24-2023,Katana Acero,305.38,4
270,2023-07-17,Kunai Hierro,139.28,5
271,14/04/2023,Tanto Madera,706.3,1
272,05-29-2023,Kunai Hierro,869.91,9
273,Hace 2 dias,Nodachi Elite,718.93,7
274,23/10/2023,Boken Entrenamiento,653.33,3
275,Hace 2 dias,Shuriken,317.5,10
276,30/04/2023,Shuriken,1058.06,5
277,Hace 2 dias,Nodachi Elite,518.21,10
278,11-29-2023,Nodachi Elite,1280.81,10
279,2023-08-05,Boken Entrenamiento,757.74,5
280,Ayer,Kunai Hierro,178.47,3
281,07/03/2023,Katana Acero,356.62,7
282,2023-05-17,tanto madera,946.32,3
283,Hace 2 dias,Nodachi Elite,,2
284,2023-03-15,Tanto Madera,,8
285,06-14-2023,Shuriken,110.44,3
286,22/12/2023,Boken Entrenamiento,1177.71,9
287,2023-12-27,Tanto Madera,376.77,8
288,11/10/2023,Katana Acero,ERR,1
289,17/11/2023,Nodachi Elite,1425.03,1
290,05-02-2023,Nodachi Elite,ERR,9
291,2023-09-05,Kunai Hierro,1221.25,3
292,06/09/2023,Shuriken,876.71,3
293,2023-02-18,Kunai Hierro,264.66,9
294,2023-02-21,Tanto Madera,399.29,3
295,07-09-2023,  Kunai Hierro  ,1202.21,8
296,2023-09-17,Shuriken,430.38,5
297,12-21-2023,Katana Acero,848.08,1
298,16/12/2023,Kunai Hierro,1342.58,4
299,Hace 2 dias,Nodachi Elite,75.82,2
300,06-18-2023,Nodachi Elite,866.97,8
301,06-11-2023,Boken Entrenamiento,759.99,8
302,12-31-2023,Katana Acero,ERR,2
303,Ayer,Boken Entrenamiento,1421.42,8
304,2023-07-16,Tanto Madera,444.05,3
305,22/05/2023,Katana Acero,1108.62,4
306,Hace 2 dias,Shuriken,860.05,6
307,2023-08-04,Nodachi Elite,1403.13,10
308,04-04-2023,Nodachi Elite,153.87,8
309,2023-09-11,Boken Entrenamiento,758.55,10
310,05-28-2023,Boken Entrenamiento,ERR,6
311,05-25-2023,Boken Entrenamiento,259.45,2
312,01-01-2023,shuriken,ERR,1
313,2023-09-29,Tanto Madera,131.79,3
314,Hace 2 dias,Nodachi Elite,1390.04,3
315,2023-10-10,Nodachi Elite,735.33,4
316,05-12-2023,  Tanto Madera  ,73.06,10
317,01/07/2023,Kunai Hierro,734.52,1
318,02-21-2023,Kunai Hierro,753.94,3
319,Hace 2 dias,Boken Entrenamiento,255.51,4
320,25/05/2023,Boken Entrenamiento,56.99,5
321,27/05/2023,Tanto Madera,1073.9,3
322,12-25-2023,Shuriken,,3
323,Ayer,Shuriken,1102.1,6
324,Hace 2 dias,Shuriken,1455.91,5
325,2023-03-04,Boken Entrenamiento,ERR,-1
326,01-23-2023,Kunai Hierro,698.28,7
327,2023-06-13,Boken Entrenamiento,971.23,5
328,2023-03-09,Kunai Hierro,1055.57,3
329,19/11/2023,Tanto Madera,212.74,8
330,09-02-2023,Shuriken,824.75,5
331,Ayer,Katana Acero,1466.05,7
332,Ayer,Kunai Hierro,1003.84,9
333,Ayer,Kunai Hierro,1129.74,4
334,01/03/2023,Kunai Hierro,701.43,2
335,28/03/2023,Tanto Madera,327.82,6
336,Ayer,Kunai Hierro,1187.12,1
337,2023-07-12,Nodachi Elite,444.21,8
338,24/12/2023,Katana Acero,1204.51,3
339,Hace 2 dias,Boken Entrenamiento,1451.62,2
340,2023-03-31,Tanto Madera,922.61,7
341,03-07-2023,Kunai Hierro,61.61,10
342,17/04/2023,Tanto Madera,1084.67,1
343,2023-04-23,Boken Entrenamiento,705.74,10
344,Ayer,Katana Acero,1193.57,2
345,2023-06-10,Tanto Madera,997.66,5
346,Hace 2 dias,Tanto Madera,965.31,6
347,12-26-2023,Nodachi Elite,895.82,9
348,2023-06-02,  Nodachi Elite  ,347.12,4
349,08/09/2023,Shuriken,964.07,10
350,2023-11-13,Katana Acero,800.34,5
351,2023-07-06,Nodachi Elite,564.2,10
352,Hace 2 dias,Shuriken,1018.84,9
353,2023-11-14,Kunai Hierro,1047.33,8
354,Hace 2 dias,Tanto Madera,1155.41,10
355,01-08-2023,Kunai Hierro,278.66,1
356,Hace 2 dias,Shuriken,1305.36,4
357,01-27-2023,Tanto Madera,614.49,9
358,05/09/2023,Kunai Hierro,408.64,7
359,07-08-2023,Shuriken,654.15,4
360,2023-04-10,Shuriken,1225.82,4
361,09-27-2023,Nodachi Elite,1350.08,6
362,Hace 2 dias,Shuriken,1288.78,6
363,2023-03-02,Kunai Hierro,1083.87,4
364,18/02/2023,Katana Acero,141.22,6
365,06-04-2023,Tanto Madera,1001.57,10
366,09-18-2023,Kunai Hierro,ERR,2
367,Hace 2 dias,Kunai Hierro,1373.64,3
368,Ayer,Nodachi Elite,496.63,1
369,2023-02-12,Boken Entrenamiento,240.84,5
370,04-27-2023,Nodachi Elite,757.23,7
371,11-04-2023,Tanto Madera,1429.39,7
372,08-21-2023,Kunai Hierro,199.08,1
373,25/01/2023,shuriken,1342.52,2
374,03/01/2023,Tanto Madera,182.84,6
375,Hace 2 dias,Nodachi Elite,842.34,3
376,04-08-2023,Kunai Hierro,765.4,9
377,07/04/2023,Tanto Madera,578.62,2
378,Ayer,Nodachi Elite,1461.2,3
379,07/08/2023,Nodachi Elite,1371.4,6
380,Ayer,katana acero,566.25,2
381,2023-12-25,Tanto Madera,587.5,3
382,Ayer,Shuriken,,5
383,2023-10-23,Nodachi Elite,873.62,4
384,2023-11-05,Shuriken,1195.74,1
385,2023-12-25,Tanto Madera,822.06,10
386,08/03/2023,Nodachi Elite,384.64,6
387,05-17-2023,  Shuriken  ,174.66,8
388,20/05/2023,boken entrenamiento,107.06,10
389,28/05/2023,Shuriken,79.35,8
390,2023-06-03,Kunai Hierro,532.96,2
391,2023-06-13,Katana Acero,136.76,6
392,2023-11-01,Nodachi Elite,78.13,5
393,10-19-2023,Boken Entrenamiento,505.08,3
394,09-28-2023,  Katana Acero  ,470.18,3
395,03-27-2023,Shuriken,1430.09,10
396,08-30-2023,Nodachi Elite,1113.55,9
397,2023-11-20,Katana Acero,58.05,6
398,05/01/2023,Kunai Hierro,1086.54,5
399,08-22-2023,Boken Entrenamiento,71.36,9
400,07-05-2023,Katana Acero,914.18,9
400,07-05-2023,Katana Acero,914.18,9
401,17/07/2023,Kunai Hierro,124.87,7
402,2023-05-01,  Shuriken  ,1248.23,4
403,Ayer,Boken Entrenamiento,1331.49,5
404,Ayer,Tanto Madera,863.63,4
405,2023-01-04,Kunai Hierro,624.14,4
406,Hace 2 dias,Shuriken,491.27,2
407,Hace 2 dias,Tanto Madera,1177.82,4
408,Ayer,Nodachi Elite,828.66,-1
409,2023-03-16,Katana Acero,971.0,6
410,2023-09-13,Tanto Madera,249.13,8
411,Hace 2 dias,Katana Acero,579.33,3
412,23/12/2023,Shuriken,603.63,8
413,2023-11-19,Nodachi Elite,210.89,-1
414,Ayer,Katana Acero,652.71,9
415,Ayer,Boken Entrenamiento,633.16,6
416,07-08-2023,Tanto Madera,917.45,10
417,13/08/2023,Tanto Madera,1086.9,3
418,02-11-2023,Tanto Madera,ERR,6
419,Ayer,Kunai Hierro,1263.56,7
420,2023-07-28,Nodachi Elite,178.14,7
421,18/09/2023,Kunai Hierro,230.97,-1
422,09-19-2023,Katana Acero,1299.75,9
423,Ayer,Shuriken,628.01,1
424,2023-03-11,Kunai Hierro,136.39,7
425,08/05/2023,Katana Acero,,5
426,Ayer,tanto madera,,6
427,04-25-2023,Tanto Madera,67.49,1
428,2023-12-26,Kunai Hierro,275.62,3
429,07-09-2023,Nodachi Elite,436.28,4
430,Ayer,Nodachi Elite,270.09,6
431,02/07/2023,Kunai Hierro,1264.84,8
432,2023-03-11,Shuriken,33.2,3
433,12/03/2023,Nodachi Elite,40.5,4
434,11-04-2023,shuriken,545.75,10
435,2023-03-08,Shuriken,929.92,9
436,2023-11-19,kunai hierro,,5
437,05/01/2023,Kunai Hierro,ERR,10
438,2023-09-11,Katana Acero,ERR,6
439,2023-02-06,Nodachi Elite,951.88,1
439,2023-02-06,Nodachi Elite,951.88,1
440,2023-08-01,Katana Acero,1112.35,8
441,07/03/2023,Boken Entrenamiento,1093.52,8
442,2023-12-03,Nodachi Elite,,2
443,08/08/2023,Shuriken,309.69,5
444,Hace 2 dias,  Boken Entrenamiento  ,337.71,1
445,26/05/2023,Nodachi Elite,,5
446,2023-01-20,Nodachi Elite,1232.87,10
446,2023-01-20,Nodachi Elite,1232.87,10
447,Ayer,Nodachi Elite,1220.79,8
448,2023-11-17,Boken Entrenamiento,1230.18,10
449,11-17-2023,Boken Entrenamiento,465.7,2
450,2023-07-27,Tanto Madera,492.34,7
451,04/03/2023,Kunai Hierro,917.37,2
452,2023-11-04,Shuriken,637.57,9
453,2023-12-31,Katana Acero,716.03,7
454,20/10/2023,Boken Entrenamiento,494.79,1
455,15/09/2023,Kunai Hierro,217.48,10
456,Ayer,  Boken Entrenamiento  ,1389.02,1
457,08/09/2023,Nodachi Elite,1424.45,2
458,2023-03-10,Katana Acero,779.51,5
459,Ayer,shuriken,208.24,7
460,04-05-2023,  Kunai Hierro  ,1438.48,-1
461,10/11/2023,Tanto Madera,1292.86,2
462,10-04-2023,Shuriken,813.46,7
463,Hace 2 dias,Shuriken,1304.52,3
464,2023-03-11,Katana Acero,790.05,6
465,11-05-2023,Nodachi Elite,289.22,6
466,28/11/2023,  Kunai Hierro  ,1225.33,7
467,Hace 2 dias,Kunai Hierro,1164.98,6
468,2023-06-18,Boken Entrenamiento,11.97,9
469,09-25-2023,Boken Entrenamiento,301.14,6
470,02-15-2023,  Tanto Madera  ,1183.18,10
471,Hace 2 dias,Tanto Madera,716.29,1
471,Hace 2 dias,Tanto Madera,716.29,1
472,2023-10-14,Kunai Hierro,202.91,9
473,10-08-2023,Katana Acero,510.64,1
474,Hace 2 dias,Kunai Hierro,233.85,8
475,01-19-2023,Kunai Hierro,1278.99,9
476,2023-12-21,Kunai Hierro,550.93,3
477,Ayer,Katana Acero,211.45,-1
478,01-27-2023,Shuriken,,9
479,04/04/2023,Kunai Hierro,1262.8,3
480,05/01/2023,Tanto Madera,954.23,1
481,2023-03-05,Shuriken,,1
482,Hace 2 dias,Tanto Madera,975.53,5
483,Hace 2 dias,Nodachi Elite,1269.14,3
483,Hace 2 dias,Nodachi Elite,1269.14,3
484,10/08/2023,Shuriken,1355.67,6
485,2023-02-12,Shuriken,462.57,8
486,10-01-2023,  Tanto Madera  ,779.33,9
487,2023-05-03,Kunai Hierro,86.69,3
488,12-03-2023,Nodachi Elite,577.12,2
489,2023-09-26,Katana Acero,1416.59,6
490,04-09-2023,Tanto Madera,1362.04,2
491,Hace 2 dias,Kunai Hierro,735.24,4
492,Hace 2 dias,Tanto Madera,322.21,3
493,30/09/2023,Tanto Madera,321.04,5
494,2023-02-17,Nodachi Elite,234.07,7
495,Hace 2 dias,Kunai Hierro,,5
496,04-21-2023,Nodachi Elite,1444.29,8
497,2023-04-16,Kunai Hierro,1140.32,6
498,Ayer,Shuriken,310.62,4
499,2023-03-04,  Tanto Madera  ,1079.88,6
500,30/03/2023,katana acero,134.51,7
501,Ayer,Boken Entrenamiento,230.38,9
502,2023-10-15,Shuriken,484.16,10
503,2023-03-08,Nodachi Elite,1470.82,9
504,2023-01-04,nodachi elite,,10
505,Hace 2 dias,Nodachi Elite,555.07,8
506,2023-02-01,Tanto Madera,1069.54,5
507,Hace 2 dias,Kunai Hierro,241.8,5
508,10/09/2023,Kunai Hierro,294.47,9
509,22/07/2023,Kunai Hierro,1198.3,1
510,19/11/2023,Tanto Madera,,3
511,2023-09-25,Boken Entrenamiento,359.86,8
512,2023-01-11,shuriken,872.51,8
513,2023-06-29,katana acero,1283.92,7
514,2023-07-15,Tanto Madera,,5
515,23/06/2023,Kunai Hierro,63.87,2
516,04-13-2023,Boken Entrenamiento,28.14,6
517,Hace 2 dias,Nodachi Elite,115.33,8
518,Hace 2 dias,Katana Acero,504.42,5
519,08-06-2023,Tanto Madera,1003.89,4
520,2023-05-12,Nodachi Elite,972.61,7
520,2023-05-12,Nodachi Elite,972.61,7
521,29/05/2023,Kunai Hierro,ERR,3
522,2023-11-14,Katana Acero,1228.98,5
523,2023-09-10,Boken Entrenamiento,1353.92,7
524,2023-01-20,Nodachi Elite,1212.97,-1
525,Ayer,Shuriken,916.27,9
526,2023-01-17,Shuriken,1397.19,2
527,12-13-2023,Tanto Madera,1056.57,5
528,09/06/2023,Kunai Hierro,662.56,9
529,06-19-2023,Shuriken,385.11,7
530,Hace 2 dias,Boken Entrenamiento,759.55,6
531,11-14-2023,Nodachi Elite,,9
532,14/08/2023,Katana Acero,736.26,3
533,2023-11-16,Boken Entrenamiento,616.72,4
534,19/11/2023,  Tanto Madera  ,ERR,10
535,14/10/2023,Katana Acero,1486.75,3
536,08/11/2023,  Kunai Hierro  ,118.26,4
537,09-12-2023,kunai hierro,34.26,5
538,19/03/2023,Kunai Hierro,439.66,3
539,2023-08-27,Shuriken,383.99,-1
540,2023-08-21,Katana Acero,626.05,3
541,2023-12-10,Shuriken,,6
542,16/10/2023,Boken Entrenamiento,202.43,-1
543,03-13-2023,Boken Entrenamiento,518.33,6
544,12-08-2023,Tanto Madera,286.73,4
545,2023-03-20,shuriken,436.26,5
546,01-25-2023,Nodachi Elite,1328.99,9
547,06-06-2023,Shuriken,1097.64,5
548,16/09/2023,Nodachi Elite,ERR,4
549,10-18-2023,Boken Entrenamiento,427.36,2
550,Hace 2 dias,Boken Entrenamiento,1086.4,6
551,Ayer,Nodachi Elite,1494.26,10
552,22/06/2023,Katana Acero,1435.63,2
553,25/12/2023,Shuriken,1385.63,2
554,11/04/2023,Katana Acero,950.55,4
555,08-07-2023,Katana Acero,,3
556,2023-01-03,Kunai Hierro,281.76,2
557,2023-08-14,Nodachi Elite,576.56,1
558,24/05/2023,Kunai Hierro,1115.52,4
559,05-22-2023,Katana Acero,774.42,8
560,10/06/2023,boken entrenamiento,1368.2,5
561,Ayer,Shuriken,634.23,10
562,2023-09-11,Boken Entrenamiento,588.02,9
563,2023-11-13,Katana Acero,100.71,5
564,2023-10-17,Tanto Madera,951.38,8
565,21/11/2023,Shuriken,679.94,8
566,12-19-2023,Tanto Madera,1320.24,5
567,2023-07-20,Shuriken,ERR,3
568,03-15-2023,Kunai Hierro,829.17,3
569,2023-05-08,Boken Entrenamiento,903.56,4
570,2023-08-30,Nodachi Elite,53.1,1
571,02-19-2023,Tanto Madera,790.86,4
572,2023-09-09,Katana Acero,653.04,3
573,2023-08-19,Boken Entrenamiento,178.68,3
574,2023-03-09,Nodachi Elite,933.04,1
575,05-07-2023,Boken Entrenamiento,283.84,1
575,05-07-2023,Boken Entrenamiento,283.84,1
